pair,timeframe,price,ann_drift_pct,ann_vol_pct,mc_low,mc_high,percentile_rank,p_up_pct,p_down_pct,touch_upper_pct,touch_lower_pct,var_95,cvar_95,expected_price,mc_regime,lookback,forecast,simulations,p2_low,p2_high,edge_pct,edge_dist_pct,signal,sl_ref,tp_ref,width_chg_pct,width_regime,profile,utc
CHFJPY,D,189.84,-17.1,6.68,186.315,192.023,65.4,34.6,65.4,7.2,5.9,-0.0186,-0.0228,189.165,⚡ D STRONG MOMENTUM,90,5,5000,187.1738,191.1642,-30.8,0.69,SHORT,191.35536,187.1738,0.1,STABLE,P2,2026-09-11T02:23:02.353603+00:00
EURCHF,D,0.94441,8.9,3.46,0.93861,0.95338,35.2,64.8,35.2,5.7,7.7,-0.0061,-0.0084,0.946,⚡ D STRONG MOMENTUM,90,5,5000,0.94083,0.95116,29.6,0.38,LONG,0.93989,0.95116,0.1,STABLE,P2,2026-09-11T02:23:02.774936+00:00
GBPCHF,D,1.09877,10.91,4.44,1.08998,1.11208,35.8,64.2,35.8,5.8,7.6,-0.008,-0.0109,1.10103,⚡ D STRONG MOMENTUM,90,5,5000,1.09331,1.10875,28.4,0.5,LONG,1.09221,1.10875,0.1,STABLE,P2,2026-09-11T02:23:03.238663+00:00
USDCHF,D,0.81364,12.77,6.59,0.80344,0.82773,39.1,60.9,39.1,5.9,7.4,-0.0125,-0.0168,0.81557,⚡ D STRONG MOMENTUM,90,5,5000,0.80709,0.82408,21.8,0.81,LONG,0.80629,0.82408,0.2,STABLE,P2,2026-09-11T02:23:04.875356+00:00
CADCHF,D,0.58792,9.6,5.09,0.58219,0.59574,39.3,60.7,39.3,5.9,7.3,-0.0097,-0.013,0.58896,⚡ D STRONG MOMENTUM,90,5,5000,0.58423,0.5937,21.4,0.63,LONG,0.58364,0.5937,0.1,STABLE,P2,2026-09-11T02:23:02.956220+00:00
AUDCHF,D,0.5823,9.75,5.47,0.57614,0.59056,39.8,60.2,39.8,5.9,7.3,-0.0106,-0.0141,0.58335,⚡ D STRONG MOMENTUM,90,5,5000,0.57831,0.58839,20.4,0.69,LONG,0.57773,0.58839,-0.1,STABLE,P2,2026-09-11T02:23:02.870268+00:00
NZDJPY,D,89.792,-10.89,8.35,87.894,91.274,58.1,41.9,58.1,6.7,6.2,-0.0211,-0.0264,89.579,🔹 D NEUTRAL,90,5,5000,88.40254,90.76546,-16.2,1.07,SHORT,90.85622,88.40254,0.1,STABLE,P2,2026-09-11T02:23:02.460806+00:00
EURJPY,D,179.299,-8.2,6.43,176.382,181.581,57.9,42.1,57.9,6.7,6.3,-0.0163,-0.0204,178.978,🔹 D NEUTRAL,90,5,5000,177.16422,180.79878,-15.8,0.83,SHORT,180.97958,177.16422,0.2,STABLE,P2,2026-09-11T02:23:01.837137+00:00
CHFNZD,D,2.1136,-6.21,5.38,2.08507,2.13639,57.3,42.7,57.3,6.7,6.3,-0.0135,-0.0169,2.11071,🔹 D NEUTRAL,90,5,5000,2.09279,2.12867,-14.6,0.71,HOLD,2.0907,2.12867,-0.2,STABLE,P2,2026-09-11T02:23:04.202432+00:00
CADJPY,D,111.619,-7.52,6.74,109.738,113.134,57.1,42.9,57.1,6.7,6.3,-0.0168,-0.0211,111.433,🔹 D NEUTRAL,90,5,5000,110.24895,112.62305,-14.2,0.89,HOLD,110.1387,112.62305,0.2,STABLE,P2,2026-09-11T02:23:02.245634+00:00
